id,city,tier,price
218,Porbandar,Tier 3,11000
219,Valsad,Tier 3,15000
220,Veraval,Tier 3,10000
221,Vapi,Tier 3,16000
222,Navsari,Tier 3,15000
223,Dahod,Tier 3,10000
224,Surendranagar,Tier 3,10000
225,Rajkot,Tier 2,20000
226,Jamnagar,Tier 2,19000
227,Bhavnagar,Tier 3,17000
228,Gandhidham,Tier 3,15000
229,Ankleshwar,Tier 3,14000
230,Jetpur,Tier 3,10000
231,Morbi,Tier 3,12000
232,Botad,Tier 3,9500
233,Kheda,Tier 3,10000
234,Palanpur,Tier 3,11000
235,Mahesana,Tier 3,13000
236,Ahmednagar,Tier 3,13000
237,Beed,Tier 3,11000
238,Bhandara,Tier 3,10000
239,Buldhana,Tier 3,9500
240,Gadchiroli,Tier 3,9000
241,Gondia,Tier 3,10000
242,Hingoli,Tier 3,9000
243,Jalna,Tier 3,11000
244,Osmanabad,Tier 3,10000
245,Parbhani,Tier 3,10500
246,Ratnagiri,Tier 3,13000
247,Satara,Tier 3,14000
248,Sindhudurg,Tier 3,12000
249,Wardha,Tier 3,11000
250,Washim,Tier 3,9500
251,Yavatmal,Tier 3,11500
252,Chhatrapati Sambhajinagar (Aurangabad),Tier 3,16000
253,Sangli,Tier 3,15000
254,Ichalkaranji,Tier 3,11000
255,Panvel,Tier 2,25000
256,Mira-Bhayandar,Tier 2,26000
257,Kalyan-Dombivali,Tier 2,24000
258,Vasai-Virar,Tier 2,23000
259,Ulhasnagar,Tier 3,18000
260,Lonavala,Tier 3,15000
261,Mahabaleshwar,Tier 3,14000
262,Alibag,Tier 3,16000
263,Chiplun,Tier 3,10000
264,Karad,Tier 3,12000
265,Baramati,Tier 3,11000
266,Shirpur,Tier 3,9500
267,Bhusawal,Tier 3,10000
268,Deolali,Tier 3,11000
269,Manmad,Tier 3,9500
270,Pandharpur,Tier 3,10000
271,Shrirampur,Tier 3,9000
272,Vaijapur,Tier 3,9000
273,Junnar,Tier 3,9000
274,Khed,Tier 3,9000
275,Rajgurunagar,Tier 3,9500
276,Talegaon Dabhade,Tier 3,12000
277,Chakan,Tier 3,13000
278,Shirur,Tier 3,11000
279,Indapur,Tier 3,9000
280,Daund,Tier 3,10000
281,Jejuri,Tier 3,9000
282,Phaltan,Tier 3,10000
283,Wai,Tier 3,11000
284,Panchgani,Tier 3,12000
285,Jalgaon,Tier 3,12000
286,Kozhikode (Calicut),Tier 2,19000
287,Alappuzha (Alleppey),Tier 3,17000
288,Palakkad (Palghat),Tier 3,16000
289,Kannur (Cannanore),Tier 3,17500
290,Kottayam,Tier 3,18000
291,Malappuram,Tier 3,16000
292,Manjeri,Tier 3,15000
293,Kasargod,Tier 3,14000
294,Attingal,Tier 3,13000
295,Neyyattinkara,Tier 3,12000
296,Punalur,Tier 3,11000
297,Chengannur,Tier 3,12000
298,Mavelikkara,Tier 3,11000
299,Kayamkulam,Tier 3,10000
300,Changanassery,Tier 3,12000
301,Pala,Tier 3,11000
302,Vaikom,Tier 3,10000
303,Perumbavoor,Tier 3,13000
304,Angamaly,Tier 3,12000
305,Chalakkudy,Tier 3,11000
306,Kodungallur,Tier 3,10000
307,Kunnamkulam,Tier 3,10000
308,Shoranur,Tier 3,9500
309,Ottappalam,Tier 3,9000
310,Mannarkkad,Tier 3,9000
311,Ponnani,Tier 3,10000
312,Tirur,Tier 3,9500
313,Perinthalmanna,Tier 3,11000
314,Nilambur,Tier 3,9000
315,Kanhangad,Tier 3,11000
316,Payyannur,Tier 3,10500
317,Thalassery,Tier 3,12000
318,Vadakara,Tier 3,10000
319,Kalpetta,Tier 3,13000
320,Mananthavady,Tier 3,11000
321,Sulthan Bathery,Tier 3,10500
322,Nedumangad,Tier 3,12000
323,Kattappana,Tier 3,10000
324,Adimali,Tier 3,9500
325,Peermade,Tier 3,9000
326,Erumely,Tier 3,9000
327,Harippad,Tier 3,10000
328,Cherthala,Tier 3,11000
329,Varkala,Tier 3,12000
330,Paravur,Tier 3,11000
331,Kottarakkara,Tier 3,10000
332,Pathanamthitta,Tier 3,12000
333,Thiruvalla,Tier 3,13000
334,Adoor,Tier 3,11000
335,Piravom,Tier 3,10000
336,Kothamangalam,Tier 3,11000
337,Moovattupuzha,Tier 3,11500
338,Koothattukulam,Tier 3,9500
339,Chittur-Thathamangalam,Tier 3,9500
340,Pattambi,Tier 3,9000
341,Cherpulassery,Tier 3,9000
342,Ponnani,Tier 3,10000
343,Kuttipuram,Tier 3,9000
344,Edappal,Tier 3,9500
345,Tirur,Tier 3,9500
346,Koduvally,Tier 3,9000
347,Mukkam,Tier 3,9000
348,Ramanattukara,Tier 3,9500
349,Feroke,Tier 3,10000
350,Kondotty,Tier 3,9000
351,Parappanangadi,Tier 3,9000
352,Tanur,Tier 3,9000
353,Panoor,Tier 3,9500
354,Iritty,Tier 3,9000
355,Taliparamba,Tier 3,10000
356,Udumalaipettai,Tier 3,10500
357,Gobichettipalayam,Tier 3,10000
358,Tiruchengode,Tier 3,10000
359,Perundurai,Tier 3,9500
360,Sathyamangalam,Tier 3,9000
361,Bhavani,Tier 3,9000
362,Mettupalayam,Tier 3,11000
363,Palladam,Tier 3,10500
364,Sankarankoil,Tier 3,9500
365,Tenkasi,Tier 3,10000
366,Rajapalayam,Tier 3,10500
367,Srivilliputhur,Tier 3,9500
368,Aruppukottai,Tier 3,9000
369,Paramakudi,Tier 3,9500
370,Ramanathapuram,Tier 3,11000
371,Karaikudi,Tier 3,12000
372,Sivaganga,Tier 3,10000
373,Pattukkottai,Tier 3,10000
374,Mannargudi,Tier 3,9500
375,Tiruvarur,Tier 3,10000
376,Nagapattinam,Tier 3,10500
377,Mayiladuthurai,Tier 3,11000
378,Chidambaram,Tier 3,10000
379,Vriddhachalam,Tier 3,9500
380,Neyveli,Tier 3,10000
381,Attur,Tier 3,10000
382,Valparai,Tier 3,10000
383,Dharapuram,Tier 3,9000
384,Kangeyam,Tier 3,9500
385,Theni,Tier 3,11000
386,Periyakulam,Tier 3,10000
387,Bodinayakanur,Tier 3,9500
388,Cumbum,Tier 3,9000
389,Uthamapalayam,Tier 3,9000
390,Puliyangudi,Tier 3,9000
391,Kadayanallur,Tier 3,9500
392,Shenkottai,Tier 3,9000
393,Alandur,Tier 3,19000
394,Pallavaram,Tier 3,18000
395,Chromepet,Tier 3,18500
396,Chengalpattu,Tier 3,15000
397,Walajapet,Tier 3,10000
398,Ranipet,Tier 3,10500
399,Arcot,Tier 3,9500
400,Tirupattur,Tier 3,10000
401,Vaniyambadi,Tier 3,9500
402,Ambur,Tier 3,9000
403,Gudiyatham,Tier 3,9000
404,Pernambut,Tier 3,9000
405,Hosur,Tier 3,16000
406,Dharmapuri,Tier 3,12000
407,Krishnagiri,Tier 3,13000
408,Harur,Tier 3,9000
409,Palani,Tier 3,10000
410,Melur,Tier 3,9500
411,Vadipatti,Tier 3,9000
412,Usilampatti,Tier 3,9000
413,Tirumangalam,Tier 3,9500
414,Sholavandan,Tier 3,9000
415,Perambalur,Tier 3,10000
416,Ariyalur,Tier 3,9500
417,Jayankondam,Tier 3,9000
418,Sendurai,Tier 3,9000
419,Rasipuram,Tier 3,10000
420,Tiruchengodu,Tier 3,10000
421,Velur,Tier 3,9500
422,Paramathi Velur,Tier 3,9000
423,Komarapalayam,Tier 3,9500
424,Andipatti,Tier 3,9000
425,Pochampalli,Tier 3,9000
426,Denkanikottai,Tier 3,9000
427,Kaigal,Tier 3,9000
428,Tharamangalam,Tier 3,9000
429,Omalur,Tier 3,9000
430,Edappadi,Tier 3,9000
431,Sankari,Tier 3,9000
432,Kolathur,Tier 3,9000
433,Mallasamudram,Tier 3,9000
434,Pattukkottai,Tier 3,10000
435,Arantangi,Tier 3,9500
436,Manamadurai,Tier 3,9000
437,Illuppur,Tier 3,9000
438,Keeranur,Tier 3,9000
439,Viralimalai,Tier 3,9000
440,Pattukkottai,Tier 3,10000
441,Kuzhithurai,Tier 3,10000
442,Colachel,Tier 3,9500
443,Padmanabhapuram,Tier 3,9000
444,Kaliakkavilai,Tier 3,9000
445,Marthandam,Tier 3,9500
446,Parassala,Tier 3,9000
447,Neyyattinkara,Tier 3,12000
448,Vizhinjam,Tier 3,10000
449,Nedumangad,Tier 3,12000
450,Chirayinkeezhu,Tier 3,9500
451,Kadakkal,Tier 3,9000
452,Pattanamthitta,Tier 3,12000
453,Adoor,Tier 3,11000
454,Konni,Tier 3,9000
455,Ranni,Tier 3,9000
456,Pandalam,Tier 3,10000
457,Sabarimala,Tier 3,9000
458,Pampady,Tier 3,9000
459,Ettumanoor,Tier 3,10000
460,Ponnani,Tier 3,10000
461,Malappuram,Tier 3,16000
462,Tirur,Tier 3,9500
463,Perinthalmanna,Tier 3,11000
464,Pattambi,Tier 3,9000
465,Cherpulassery,Tier 3,9000
466,Manjeri,Tier 3,15000
467,Nilambur,Tier 3,9000
468,Kondotty,Tier 3,9000
469,Areekode,Tier 3,9000
470,Kottakkal,Tier 3,10000
471,Valanchery,Tier 3,9500
472,Tanur,Tier 3,9000
473,Perumbavoor,Tier 3,13000
474,Angamaly,Tier 3,12000
475,Chalakkudy,Tier 3,11000
476,Kodungallur,Tier 3,10000
477,Kunnamkulam,Tier 3,10000
478,Chavakkad,Tier 3,10500
479,Guruvayoor,Tier 3,11000
480,Irinjalakuda,Tier 3,11000
481,Mukundapuram,Tier 3,9000
482,Vadakkancherry,Tier 3,9000
483,Aluva,Tier 2,19000
484,Kalamassery,Tier 3,18000
485,Maradu,Tier 3,17000
486,Tripunithura,Tier 3,17500
487,Muvattupuzha,Tier 3,11500
488,Kothamangalam,Tier 3,11000
489,Kolavennu,Tier 3,9000
490,Tenali,Tier 3,10000
491,Repalle,Tier 3,9000
492,Narasaraopet,Tier 3,11000
493,Vinukonda,Tier 3,9000
494,Piduguralla,Tier 3,9000
495,Sattenapalle,Tier 3,10000
496,Ponnur,Tier 3,9000
497,Chilakaluripet,Tier 3,10500
498,Bapatla,Tier 3,10000
499,Chirala,Tier 3,10000
500,Parchur,Tier 3,9000
